node_id,type,protein_id,gene_symbol,graph_degree,graph_weight,graph_lift,beta_phenotype,mean_log2_intensity,detection_rate,phenotype_difference,site,label
protein:O95755,protein,O95755,RAB36,2292.0,10345.0,15309.364990000016,0.0,6.05797175639894,0.84975,0.010312292690137781,,
gene:RAB36,gene,,RAB36,,,,,,,,,
protein:Q9UHP6,protein,Q9UHP6,RSPH14,1515.0,7727.0,9977.239960000024,0.0,6.058241722824494,0.85325,-0.043494243709153224,,
gene:RSPH14,gene,,RSPH14,,,,,,,,,
protein:P19086,protein,P19086,GNAZ,968.0,5152.0,6397.296030000011,0.0,9.8956727625381,0.90225,0.011493872152017914,,
gene:GNAZ,gene,,GNAZ,,,,,,,,,
protein:Q9NYQ6,protein,Q9NYQ6,CELSR1,8192.0,39563.0,54781.06400999984,0.0,15.3345859375,0.992,-0.003175690159554989,,
gene:CELSR1,gene,,CELSR1,,,,,,,,,
protein:Q7Z5A7,protein,Q7Z5A7,TAFA5,11362.0,54654.0,75109.75618000013,0.0,6.58133479020979,0.858,0.013307536620770222,,
gene:TAFA5,gene,,TAFA5,,,,,,,,,
protein:Q2NKQ1,protein,Q2NKQ1,SGSM1,2913.0,14631.0,19051.925629999976,0.0,12.695493427970558,0.951,-0.019718773058773564,,
gene:SGSM1,gene,,SGSM1,,,,,,,,,
protein:Q6ICI0,protein,Q6ICI0,LHFPL7,223.0,1237.0,1419.9998799999998,-0.2654079777009882,15.184820207647505,0.98725,-0.20202324382796988,,
gene:LHFPL7,gene,,LHFPL7,,,,,,,,,
protein:Q9HBI1,protein,Q9HBI1,PARVB,5290.0,23806.0,35685.78366000003,0.5160065488397104,11.881749667464753,0.93975,0.4604549447136357,,
gene:PARVB,gene,,PARVB,,,,,,,,,
protein:Q9NST1,protein,Q9NST1,PNPLA3,927.0,3787.0,6128.882820000009,0.0,15.843162365321975,0.99775,-0.020833352201234945,,
gene:PNPLA3,gene,,PNPLA3,,,,,,,,,
protein:Q9Y512,protein,Q9Y512,SAMM50,239.0,712.0,1615.2207599999997,0.0,7.552216169724771,0.872,-0.015972226423164315,,
gene:SAMM50,gene,,SAMM50,,,,,,,,,
protein:P15814,protein,P15814,IGLL1,757.0,5407.0,4585.8701299999975,0.8096174016965673,12.160495746943115,0.9405,0.9237574715778099,,
gene:IGLL1,gene,,IGLL1,,,,,,,,,
protein:Q6P575,protein,Q6P575,GUSBP11,238.0,1242.0,1724.3755499999995,0.0,9.654416253443525,0.9075,-0.027725455810646338,,
gene:GUSBP11,gene,,GUSBP11,,,,,,,,,
protein:Q6PGQ1,protein,Q6PGQ1,DRICH1,762.0,4471.0,5055.46903,0.0,7.674910846110165,0.8805,0.007943499173425295,,
gene:DRICH1,gene,,DRICH1,,,,,,,,,
protein:Q8IZJ4,protein,Q8IZJ4,RGL4,238.0,1242.0,1724.3755499999995,0.0,9.218770652478296,0.89275,0.07654474826065538,,
gene:RGL4,gene,,RGL4,,,,,,,,,
protein:Q9UC06,protein,Q9UC06,ZNF70,238.0,1242.0,1724.3755499999995,0.2606379652270442,12.47179202955925,0.94725,0.28316242694521065,,
gene:ZNF70,gene,,ZNF70,,,,,,,,,
protein:Q6IC83,protein,Q6IC83,C22orf42,1851.0,8671.0,12323.945130000046,0.0,15.493347267690758,0.99275,0.003755903216223544,,
gene:C22orf42,gene,,C22orf42,,,,,,,,,
protein:O00541,protein,O00541,PES1,880.0,4727.0,5727.100390000014,0.0,9.17696130117779,0.8915,-0.0334249179621402,,
gene:PES1,gene,,PES1,,,,,,,,,
protein:Q8TCT0,protein,Q8TCT0,CERK,1276.0,7799.0,8320.537980000005,0.0,12.86776685833769,0.9565,-0.02131166208930857,,
gene:CERK,gene,,CERK,,,,,,,,,
protein:P39023,protein,P39023,RPL3,142.0,682.0,885.67661,0.0,11.809795902075573,0.9395,-0.01885416115011651,,
gene:RPL3,gene,,RPL3,,,,,,,,,
protein:O43759,protein,O43759,SYNGR1,167.0,943.0,1023.0015900000004,0.0,11.50368918191604,0.929,-0.008017494220023735,,
gene:SYNGR1,gene,,SYNGR1,,,,,,,,,
protein:Q9H4I3,protein,Q9H4I3,TRABD,340.0,1603.0,2134.870709999999,-0.6147004509923318,9.90683434399118,0.907,-0.6248519350423738,,
gene:TRABD,gene,,TRABD,,,,,,,,,
protein:Q9BVL4,protein,Q9BVL4,SELENOO,340.0,1603.0,2134.870709999999,0.0,6.2221730317273805,0.851,0.023155220311640967,,
gene:SELENOO,gene,,SELENOO,,,,,,,,,
protein:Q96RD6,protein,Q96RD6,PANX2,351.0,1845.0,2191.7310499999985,0.0,7.944736976942783,0.87825,-0.06369489585602395,,
gene:PANX2,gene,,PANX2,,,,,,,,,
protein:Q96RT7,protein,Q96RT7,TUBGCP6,340.0,1603.0,2134.870709999999,0.0,11.894105712760275,0.9365,0.03152363385945023,,
gene:TUBGCP6,gene,,TUBGCP6,,,,,,,,,
protein:P85298,protein,P85298,ARHGAP8,3186.0,13974.0,21607.65914999986,0.0,11.7125170195658,0.93275,-0.03373917236432611,,
gene:ARHGAP8,gene,,ARHGAP8,,,,,,,,,
protein:Q10571,protein,Q10571,MN1,3805.0,17567.0,25454.08558999996,-0.0837120634104703,12.215329798515377,0.943,-0.10944566455032323,,
gene:MN1,gene,,MN1,,,,,,,,,
protein:P13866,protein,P13866,SLC5A1,207.0,913.0,1338.1295,0.0,8.962343723673126,0.89025,-0.049974002198780454,,
gene:SLC5A1,gene,,SLC5A1,,,,,,,,,
protein:Q04917,protein,Q04917,YWHAH,207.0,913.0,1338.1295,0.0,6.379210356933879,0.8545,-0.04721961116749629,,
gene:YWHAH,gene,,YWHAH,,,,,,,,,
protein:O14994,protein,O14994,SYN3,3971.0,22170.0,25272.978689999985,0.0,10.276505346860434,0.91175,-0.03907132860173235,,
gene:SYN3,gene,,SYN3,,,,,,,,,
protein:Q2M1V0,protein,Q2M1V0,ISX,198.0,1038.0,1259.1443900000006,0.0,15.746437452995739,0.99725,0.002599121282271355,,
gene:ISX,gene,,ISX,,,,,,,,,
protein:Q9HBI0,protein,Q9HBI0,PARVG,832.0,5113.0,5519.975960000001,0.0,11.01308299866131,0.93375,0.03568028432211712,,
gene:PARVG,gene,,PARVG,,,,,,,,,
protein:Q96F46,protein,Q96F46,IL17RA,432.0,2786.0,2718.6714599999996,0.0,15.201927323373004,0.98725,0.013356431930160895,,
gene:IL17RA,gene,,IL17RA,,,,,,,,,
protein:Q9NV39,protein,Q9NV39,PRR34,891.0,5114.0,5821.856770000015,0.0,11.041925765375236,0.92275,-0.03267343992429517,,
gene:PRR34,gene,,PRR34,,,,,,,,,
protein:Q07869,protein,Q07869,PPARA,2195.0,14774.0,14175.30244,0.0,9.991737379310344,0.90625,0.04385434175515712,,
gene:PPARA,gene,,PPARA,,,,,,,,,
protein:Q9NY65,protein,Q9NY65,TUBA8,1438.0,7362.0,9536.499530000006,0.0,11.820263733333334,0.9375,0.02534391497376909,,
gene:TUBA8,gene,,TUBA8,,,,,,,,,
protein:P21964,protein,P21964,COMT,840.0,5277.0,5381.701739999991,0.0,9.443894866867964,0.91075,0.012244930394984976,,
gene:COMT,gene,,COMT,,,,,,,,,
protein:P43487,protein,P43487,RANBP1,1175.0,5504.0,7823.251029999988,0.0,14.244437772645625,0.97425,-0.0099930056731381,,
gene:RANBP1,gene,,RANBP1,,,,,,,,,
protein:Q9ULC8,protein,Q9ULC8,ZDHHC8,1175.0,5504.0,7823.251029999988,0.0,13.840581347150259,0.965,0.041501963449462664,,
gene:ZDHHC8,gene,,ZDHHC8,,,,,,,,,
protein:Q8IZ69,protein,Q8IZ69,TRMT2A,1175.0,5504.0,7823.251029999988,0.0,15.27081089258699,0.9915,-0.0006189638878879578,,
gene:TRMT2A,gene,,TRMT2A,,,,,,,,,
protein:Q8WYQ5,protein,Q8WYQ5,DGCR8,1175.0,5504.0,7823.251029999988,0.0,13.05149385620915,0.95625,0.039057893394900844,,
gene:DGCR8,gene,,DGCR8,,,,,,,,,
protein:H7C350,protein,H7C350,CCDC188,1175.0,5504.0,7823.251029999988,0.0,15.627745033945185,0.99425,0.02610684615408765,,
gene:CCDC188,gene,,CCDC188,,,,,,,,,
protein:Q6ICL3,protein,Q6ICL3,TANGO2,1246.0,5738.0,8301.354089999986,0.2965697652719854,11.549056246619793,0.9245,0.24669871315732728,,
gene:TANGO2,gene,,TANGO2,,,,,,,,,
protein:Q16587,protein,Q16587,ZNF74,713.0,3589.0,4731.496909999998,0.0,15.575929917106254,0.99525,0.02497199638497527,,
gene:ZNF74,gene,,ZNF74,,,,,,,,,
protein:Q8WYQ3,protein,Q8WYQ3,CHCHD10,1827.0,9359.0,12217.933659999995,0.0,6.016617483132884,0.85225,0.002297243423743822,,
gene:CHCHD10,gene,,CHCHD10,,,,,,,,,
protein:P24347,protein,P24347,MMP11,949.0,5051.0,6481.050630000017,0.0,12.94130867413389,0.95975,-0.09085756372935982,,
gene:MMP11,gene,,MMP11,,,,,,,,,
protein:Q12824,protein,Q12824,SMARCB1,949.0,5051.0,6481.050630000017,0.0,14.525930292157868,0.9755,-0.027012319926180695,,
gene:SMARCB1,gene,,SMARCB1,,,,,,,,,
protein:Q96Q80,protein,Q96Q80,DERL3,949.0,5051.0,6481.050630000017,0.0,10.754541049798114,0.92875,0.017869634991612315,,
gene:DERL3,gene,,DERL3,,,,,,,,,
protein:P43320,protein,P43320,CRYBB2,729.0,3866.0,5151.215699999998,0.0,8.040564247387744,0.88525,0.08507926399887822,,
gene:CRYBB2,gene,,CRYBB2,,,,,,,,,
protein:Q8WWX9,protein,Q8WWX9,SELENOM,415.0,3530.0,2532.4604600000007,0.0,8.798272727272728,0.891,-0.06293146321911713,,
gene:SELENOM,gene,,SELENOM,,,,,,,,,
protein:P53814,protein,P53814,SMTN,415.0,3530.0,2532.4604600000007,0.0,8.481728703964015,0.88925,0.004999441837941987,,
gene:SMTN,gene,,SMTN,,,,,,,,,
protein:Q15735,protein,Q15735,INPP5J,415.0,3530.0,2532.4604600000007,0.0,9.987324089178903,0.9195,0.029972934518207595,,
gene:INPP5J,gene,,INPP5J,,,,,,,,,
protein:Q9NZ20,protein,Q9NZ20,PLA2G3,415.0,3530.0,2532.4604600000007,0.0,7.873972301541976,0.8755,-0.02306442441054024,,
gene:PLA2G3,gene,,PLA2G3,,,,,,,,,
protein:Q9NY91,protein,Q9NY91,SLC5A4,1797.0,9533.0,11814.788920000015,0.0,14.34938090349076,0.974,-0.003601651283537066,,
gene:SLC5A4,gene,,SLC5A4,,,,,,,,,
protein:O95461,protein,O95461,LARGE1,6986.0,35272.0,45246.10619000014,0.0,10.240723537414967,0.91875,-0.011783694500330455,,
gene:LARGE1,gene,,LARGE1,,,,,,,,,
protein:P09382,protein,P09382,LGALS1,225.0,1711.0,1342.33195,0.0,9.377562654916002,0.90775,0.08929738219698002,,
gene:LGALS1,gene,,LGALS1,,,,,,,,,
protein:Q6ZT62,protein,Q6ZT62,BARGIN,225.0,1711.0,1342.33195,0.0,13.238594903796152,0.9615,-0.041455168617023475,,
gene:BARGIN,gene,,BARGIN,,,,,,,,,
protein:Q9UJY5,protein,Q9UJY5,GGA1,225.0,1711.0,1342.33195,0.0,14.819333248987855,0.988,0.019492299296743454,,
gene:GGA1,gene,,GGA1,,,,,,,,,
protein:Q9Y3L3,protein,Q9Y3L3,SH3BP1,225.0,1711.0,1342.33195,0.0,7.129525173611112,0.864,-0.013644904364397803,,
gene:SH3BP1,gene,,SH3BP1,,,,,,,,,
protein:Q96GD0,protein,Q96GD0,PDXP,225.0,1711.0,1342.33195,0.0,10.298774571195208,0.91825,-0.08891704596542738,,
gene:PDXP,gene,,PDXP,,,,,,,,,
protein:P49674,protein,P49674,CSNK1E,2180.0,8916.0,14677.630700000049,0.0,12.228363972530376,0.9465,-0.01605434234832437,,
gene:CSNK1E,gene,,CSNK1E,,,,,,,,,
protein:P31941,protein,P31941,APOBEC3A,1110.0,5112.0,7351.129210000002,0.0,10.174801602652666,0.90475,-0.002040682623759338,,
gene:APOBEC3A,gene,,APOBEC3A,,,,,,,,,
protein:Q9UH17,protein,Q9UH17,APOBEC3B,1110.0,5112.0,7351.129210000002,-0.3247537451181644,8.19933633295838,0.889,-0.30475594749136725,,
gene:APOBEC3B,gene,,APOBEC3B,,,,,,,,,
protein:Q96AK3,protein,Q96AK3,APOBEC3D,1258.0,6868.0,8274.421840000015,0.0,9.205008916132629,0.89725,-0.012651886820400193,,
gene:APOBEC3D,gene,,APOBEC3D,,,,,,,,,
protein:Q8IUX4,protein,Q8IUX4,APOBEC3F,1258.0,6868.0,8274.421840000015,0.0,10.891427373546119,0.92425,0.027099618309058826,,
gene:APOBEC3F,gene,,APOBEC3F,,,,,,,,,
protein:Q9NRW3,protein,Q9NRW3,APOBEC3C,1258.0,6868.0,8274.421840000015,0.0,6.598301535735382,0.8465,-0.037126683438327035,,
gene:APOBEC3C,gene,,APOBEC3C,,,,,,,,,
protein:Q9HC16,protein,Q9HC16,APOBEC3G,1258.0,6868.0,8274.421840000015,0.0,7.060668589558696,0.86675,-0.05043675434189776,,
gene:APOBEC3G,gene,,APOBEC3G,,,,,,,,,
protein:Q8NEG4,protein,Q8NEG4,SACK1F,1388.0,8360.0,8901.272219999988,0.0,15.121990139064474,0.98875,0.052270097496604606,,
gene:SACK1F,gene,,SACK1F,,,,,,,,,
protein:Q9UPQ9,protein,Q9UPQ9,TNRC6B,506.0,4534.0,3091.338209999999,0.0,9.0899231851435,0.8885,0.01205628353391397,,
gene:TNRC6B,gene,,TNRC6B,,,,,,,,,
protein:Q969R5,protein,Q969R5,L3MBTL2,61.0,1238.0,346.2734000000001,0.0,12.688764259549972,0.9555,-0.002111056555531121,,
gene:L3MBTL2,gene,,L3MBTL2,,,,,,,,,
protein:Q6NUI6,protein,Q6NUI6,CHADL,61.0,1238.0,346.2734000000001,0.0,6.635547688706847,0.8545,0.006726052140809458,,
gene:CHADL,gene,,CHADL,,,,,,,,,
protein:Q09472,protein,Q09472,EP300,61.0,1238.0,346.2734000000001,0.0,9.744933406714365,0.9085,-0.03559509916858694,,
gene:EP300,gene,,EP300,,,,,,,,,
protein:Q14166,protein,Q14166,TTLL12,1900.0,8150.0,12754.688279999982,0.5722700696539474,8.280545892351274,0.8825,0.6208831782066131,,
gene:TTLL12,gene,,TTLL12,,,,,,,,,
protein:Q8IWY4,protein,Q8IWY4,SCUBE1,3335.0,17544.0,22235.97461999998,0.0,9.779326806398235,0.9065,0.003651396774040805,,
gene:SCUBE1,gene,,SCUBE1,,,,,,,,,
protein:O15442,protein,O15442,MPPED1,2617.0,10602.0,17514.37680999994,0.0,14.406167603474705,0.9785,-0.09869876715904446,,
gene:MPPED1,gene,,MPPED1,,,,,,,,,
protein:Q9BYW1,protein,Q9BYW1,SLC2A11,1054.0,6591.0,6707.483499999983,0.0,7.203802544087886,0.86475,0.030134551703455692,,
gene:SLC2A11,gene,,SLC2A11,,,,,,,,,
protein:Q69YQ0,protein,Q69YQ0,SPECC1L,1352.0,7812.0,8895.284370000029,0.0,13.010295859538784,0.954,0.05835846375916809,,
gene:SPECC1L,gene,,SPECC1L,,,,,,,,,
protein:P36269,protein,P36269,GGT5,838.0,4128.0,5726.044860000005,0.0,9.390584984649735,0.89575,-0.06355097506502361,,
gene:GGT5,gene,,GGT5,,,,,,,,,
protein:P29274,protein,P29274,ADORA2A,618.0,4343.0,3868.8745599999943,0.0,15.005574581430745,0.9855,-0.03187491967361211,,
gene:ADORA2A,gene,,ADORA2A,,,,,,,,,
protein:P86434,protein,P86434,ADORA2A-AS1,618.0,4343.0,3868.8745599999943,0.0,9.902548520873651,0.90425,0.015065746569812077,,
gene:ADORA2A-AS1,gene,,ADORA2A-AS1,,,,,,,,,
protein:P14784,protein,P14784,IL2RB,631.0,4488.0,3895.413439999995,0.0,15.463080141129032,0.992,0.002079587979586961,,
gene:IL2RB,gene,,IL2RB,,,,,,,,,
protein:P15153,protein,P15153,RAC2,908.0,4608.0,5584.803720000004,0.0,7.250203473227207,0.86375,0.03218077819122378,,
gene:RAC2,gene,,RAC2,,,,,,,,,
protein:Q99705,protein,Q99705,MCHR1,230.0,1515.0,1409.0724399999997,0.0,14.271695841889118,0.974,0.011326060572756091,,
gene:MCHR1,gene,,MCHR1,,,,,,,,,
protein:Q969V6,protein,Q969V6,MRTFA,238.0,1607.0,1453.0910299999991,0.0,15.713490215755144,0.9965,-0.023402062301132176,,
gene:MRTFA,gene,,MRTFA,,,,,,,,,
protein:Q3SXP7,protein,Q3SXP7,SHISAL1,3124.0,15021.0,20938.58010999993,0.0,6.630559136605559,0.8455,-0.023693939393939267,,
gene:SHISAL1,gene,,SHISAL1,,,,,,,,,
protein:Q6ICG6,protein,Q6ICG6,KIAA0930,649.0,3073.0,4431.786890000002,0.0,12.07492819289878,0.9435,-0.009932639107505636,,
gene:KIAA0930,gene,,KIAA0930,,,,,,,,,
protein:Q6IC98,protein,Q6IC98,GRAMD4,299.0,2715.0,1796.8042500000004,0.0,12.622798894445907,0.94975,-0.07202233160823823,,
gene:GRAMD4,gene,,GRAMD4,,,,,,,,,
protein:O15371,protein,O15371,EIF3D,1905.0,10494.0,12431.496840000009,0.0,6.960475447718081,0.8655,-0.11555089106148397,,
gene:EIF3D,gene,,EIF3D,,,,,,,,,
protein:Q99757,protein,Q99757,TXN2,1905.0,10494.0,12431.496840000009,0.0,9.997337789904503,0.91625,-0.02519965938689772,,
gene:TXN2,gene,,TXN2,,,,,,,,,
protein:Q8IWF2,protein,Q8IWF2,FOXRED2,1905.0,10494.0,12431.496840000009,0.0,13.249096429502215,0.95925,-0.043318760794774036,,
gene:FOXRED2,gene,,FOXRED2,,,,,,,,,
protein:P59817,protein,P59817,ZNF280A,1174.0,7120.0,7918.571999999997,0.0,9.928621754577753,0.91475,-0.006753791878958637,,
gene:ZNF280A,gene,,ZNF280A,,,,,,,,,
protein:Q86YH2,protein,Q86YH2,ZNF280B,1174.0,7120.0,7918.571999999997,0.0,7.947274267662263,0.8705,0.06329292950000465,,
gene:ZNF280B,gene,,ZNF280B,,,,,,,,,
protein:P35626,protein,P35626,GRK3,1305.0,6875.0,8341.863370000014,-0.2735549815738259,8.75224189944134,0.895,-0.3376414072684,,
gene:GRK3,gene,,GRK3,,,,,,,,,
protein:Q9P0X4,protein,Q9P0X4,CACNA1I,3204.0,15876.0,21178.959359999968,0.0,14.936560988031577,0.98175,-0.030753604426303482,,
gene:CACNA1I,gene,,CACNA1I,,,,,,,,,
protein:P49593,protein,P49593,PPM1F,534.0,3760.0,3653.4101800000058,0.0,14.871996441281137,0.9835,-0.010716164448611565,,
gene:PPM1F,gene,,PPM1F,,,,,,,,,
protein:O95985,protein,O95985,TOP3B,534.0,3760.0,3653.4101800000058,0.0,8.149699408950182,0.88825,0.053235256328147074,,
gene:TOP3B,gene,,TOP3B,,,,,,,,,
protein:Q5R3I4,protein,Q5R3I4,TTC38,1248.0,7632.0,8260.197360000006,0.0,9.302379817022455,0.90175,0.03373012367127082,,
gene:TTC38,gene,,TTC38,,,,,,,,,
protein:O75648,protein,O75648,TRMU,1248.0,7632.0,8260.197360000006,0.0,11.414737973662994,0.93025,-0.01838491116478025,,
gene:TRMU,gene,,TRMU,,,,,,,,,
protein:Q9NTG1,protein,Q9NTG1,PKDREJ,1248.0,7632.0,8260.197360000006,0.0,13.773788205128206,0.975,0.01342116365101198,,
gene:PKDREJ,gene,,PKDREJ,,,,,,,,,
protein:Q9NYZ3,protein,Q9NYZ3,GTSE1,1248.0,7632.0,8260.197360000006,0.0,14.248561056952283,0.9745,-0.06151233463881489,,
gene:GTSE1,gene,,GTSE1,,,,,,,,,
protein:Q7Z3Z3,protein,Q7Z3Z3,PIWIL3,283.0,2485.0,1725.08486,0.0,8.456646813247982,0.89825,-0.08508186949960006,,
gene:PIWIL3,gene,,PIWIL3,,,,,,,,,
protein:Q14390,protein,Q14390,GGTLC2,33.0,554.0,178.21185000000003,0.0,6.202996236247828,0.8635,0.05232889632209137,,
gene:GGTLC2,gene,,GGTLC2,,,,,,,,,
protein:Q6NTF7,protein,Q6NTF7,APOBEC3H,403.0,1721.0,2688.8899499999984,0.0,9.742851759490165,0.90225,0.0462155195214784,,
gene:APOBEC3H,gene,,APOBEC3H,,,,,,,,,
protein:O95236,protein,O95236,APOL3,266.0,1542.0,1783.6151900000011,0.0,7.263514384349827,0.869,0.010534301165438187,,
gene:APOL3,gene,,APOL3,,,,,,,,,
protein:P26998,protein,P26998,CRYBB3,175.0,1101.0,1102.5715700000003,-0.1686435039209785,10.325245461934434,0.92275,-0.15926476827264935,,
gene:CRYBB3,gene,,CRYBB3,,,,,,,,,
protein:Q9BY89,protein,Q9BY89,KIAA1671,676.0,3120.0,4490.282270000003,0.0,10.850428376906319,0.918,0.030520362882498375,,
gene:KIAA1671,gene,,KIAA1671,,,,,,,,,
protein:Q15750,protein,Q15750,TAB1,25.0,261.0,137.32498,0.0,9.350036791147994,0.90375,-0.024080551843255193,,
gene:TAB1,gene,,TAB1,,,,,,,,,
protein:Q9BXI9,protein,Q9BXI9,C1QTNF6,201.0,1614.0,1630.5902699999997,0.0,13.669530848329048,0.9725,-0.020565731569549328,,
gene:C1QTNF6,gene,,C1QTNF6,,,,,,,,,
protein:P32745,protein,P32745,SSTR3,201.0,1614.0,1630.5902699999997,0.0,11.54013469827586,0.928,-0.005467268373903877,,
gene:SSTR3,gene,,SSTR3,,,,,,,,,
protein:L0R8F8,protein,L0R8F8,MIEF1,466.0,2424.0,2927.352299999997,0.0,11.917395074946466,0.934,0.03598939768193077,,
gene:MIEF1,gene,,MIEF1,,,,,,,,,
protein:Q9NQG6,protein,Q9NQG6,MIEF1,466.0,2424.0,2927.352299999997,0.0,11.639022818791947,0.93125,-0.028901053121121123,,
protein:Q09327,protein,Q09327,MGAT3,466.0,2424.0,2927.352299999997,0.0,15.273710652228658,0.99275,0.024199357488088324,,
gene:MGAT3,gene,,MGAT3,,,,,,,,,
protein:P18848,protein,P18848,ATF4,466.0,2424.0,2927.352299999997,0.0,13.352532396565183,0.96075,-0.06283421114599719,,
gene:ATF4,gene,,ATF4,,,,,,,,,
protein:Q86WX3,protein,Q86WX3,RPS19BP1,466.0,2424.0,2927.352299999997,0.0,15.347798735777497,0.98875,-0.023423553549749343,,
gene:RPS19BP1,gene,,RPS19BP1,,,,,,,,,
protein:O75631,protein,O75631,UPK3A,1246.0,5699.0,8848.45899000001,0.0,8.34866986455982,0.886,0.0027262709405082575,,
gene:UPK3A,gene,,UPK3A,,,,,,,,,
protein:Q9BQE5,protein,Q9BQE5,APOL2,459.0,3555.0,3064.0061699999974,0.0,9.52887928631168,0.89675,-0.09925896474884865,,
